age,monthly_income,employment_years,existing_loan_amount,loan_amount_requested,loan_tenure_months,credit_card_utilization,missed_payments_last_12m,utility_payment_score,mobile_recharge_consistency,employment_type,residence_type,defaulted
58,101484,8.4,61125,115373,36,10,2,35,95,salaried,family,0
52,67563,6.8,74131,345195,96,41,7,20,26,salaried,rented,0
46,58130,7.7,174425,278200,96,56,4,93,77,salaried,family,0
26,73022,20.4,101097,232220,84,93,0,52,62,salaried,owned,0
35,79637,5.0,154366,252438,60,77,6,98,43,unemployed,rented,1
57,103206,9.0,149241,249311,48,46,3,26,67,salaried,rented,0
43,32433,4.0,42231,292573,84,91,3,74,58,salaried,owned,0
39,86749,15.5,146693,348800,72,83,6,64,56,salaried,rented,0
42,116791,6.5,76587,166080,60,95,4,29,59,salaried,owned,1
58,50058,18.8,63558,185517,60,79,7,56,48,salaried,owned,0
22,86920,19.0,219354,344312,36,23,3,26,95,salaried,rented,0
51,112836,23.4,150895,329539,120,79,4,32,51,salaried,family,1
57,76398,3.2,181212,140878,24,66,0,81,61,salaried,family,0
39,100614,17.7,108212,244271,72,65,9,36,36,salaried,owned,1
57,74732,21.2,100008,83600,36,97,9,48,92,salaried,owned,0
43,31977,3.4,30093,156975,96,47,6,65,87,self_employed,owned,0
42,100313,16.9,123562,51214,120,60,1,93,98,salaried,owned,0
56,57104,4.7,182390,221576,84,54,3,30,29,salaried,rented,0
34,56879,22.3,49936,263592,36,90,2,24,51,salaried,rented,0
47,45251,16.4,4906,207945,48,89,7,94,73,salaried,rented,0
46,88814,20.8,8564,339495,72,95,2,92,55,salaried,rented,0
26,102755,16.6,127741,279718,60,13,7,53,44,unemployed,owned,1
24,38337,5.7,208126,242210,12,25,2,91,98,unemployed,rented,0
49,116514,8.4,197628,133615,48,30,2,86,39,self_employed,owned,0
29,61278,10.0,28260,162997,48,6,3,22,48,salaried,owned,0
28,105861,22.5,205340,289229,72,6,7,74,38,self_employed,rented,0
41,50653,22.5,14854,140995,60,87,5,46,27,salaried,family,1
58,90892,19.2,213926,305661,36,35,0,47,54,self_employed,family,0
29,88802,7.4,17852,354887,12,16,7,40,40,self_employed,owned,1
44,25666,11.0,189323,266838,60,89,8,79,33,self_employed,rented,1
52,60089,20.6,108506,105506,36,38,0,69,66,self_employed,owned,0
49,38196,19.7,122987,379736,36,48,8,28,43,salaried,rented,1
58,108189,8.6,103337,329852,60,96,4,84,38,unemployed,rented,1
49,93157,19.2,20003,147678,24,21,1,31,26,salaried,rented,0
36,109342,8.7,180449,339825,84,83,0,29,78,self_employed,family,0
23,100480,23.3,156831,129194,72,18,9,52,65,salaried,owned,0
28,82748,2.6,46007,124503,96,54,4,51,48,salaried,owned,0
39,37615,3.6,98482,142352,84,91,5,53,95,self_employed,owned,1
33,114998,18.4,181496,332894,48,30,4,57,58,salaried,family,1
53,85969,12.5,157082,354145,72,6,4,79,22,self_employed,owned,0
45,118395,12.7,91582,87419,72,29,10,77,83,salaried,rented,0
48,101186,16.4,41932,363384,72,58,3,54,43,salaried,rented,0
31,38973,22.8,148698,130536,12,58,1,71,64,salaried,owned,0
22,103736,9.2,190087,132663,36,80,4,34,29,salaried,family,1
47,46621,1.1,155035,216590,72,90,9,71,49,salaried,rented,1
30,102640,10.2,216706,376328,60,90,2,25,75,salaried,owned,0
53,21547,16.2,144500,228070,24,29,3,33,48,self_employed,rented,1
38,93221,13.4,58838,132331,24,87,1,42,39,salaried,family,1
44,116196,7.4,173734,109062,72,73,2,75,89,salaried,rented,0
21,31629,19.1,28766,328312,72,38,8,88,27,salaried,family,0
21,23581,19.9,46572,348853,120,68,7,87,81,salaried,owned,1
45,101598,10.0,104672,212944,24,81,6,36,47,salaried,owned,1
48,36983,4.5,50674,145956,12,44,1,25,56,salaried,owned,0
28,54884,18.3,133976,347980,24,16,7,98,77,salaried,rented,0
59,98342,6.9,181050,326219,24,88,2,85,45,salaried,rented,0
48,73344,10.2,193331,138128,12,12,0,64,45,self_employed,rented,0
46,42713,21.8,1008,218697,12,46,2,54,51,self_employed,family,0
21,64567,13.8,42425,269115,36,89,9,98,27,salaried,owned,1
31,77950,18.9,63980,169085,36,76,3,84,98,self_employed,rented,0
34,46113,20.4,106826,93674,120,48,10,34,89,self_employed,rented,0
32,70120,11.4,64967,277569,120,44,1,20,29,salaried,rented,0
33,47571,17.9,39938,101982,120,70,3,64,43,salaried,rented,0
54,80504,8.1,200344,60372,84,66,7,69,32,self_employed,rented,0
44,94284,4.2,166410,332185,120,17,10,54,51,self_employed,rented,0
49,71706,2.9,131902,108022,72,80,6,94,88,self_employed,rented,0
52,41356,18.4,4361,128997,84,53,5,71,88,salaried,owned,0
57,30347,3.5,117497,157028,60,83,8,95,92,self_employed,owned,0
59,53760,16.8,164698,54735,96,43,2,94,97,salaried,owned,0
60,72002,10.6,79826,82992,96,78,9,70,82,salaried,owned,0
50,58238,17.2,130555,183646,120,50,10,93,56,salaried,owned,0
59,84069,21.2,29502,265457,96,36,4,78,86,unemployed,owned,0
58,88311,20.2,28001,249659,60,79,8,23,53,salaried,owned,1
53,69707,21.9,85633,139601,24,9,2,71,37,unemployed,owned,0
56,96882,22.5,4739,335403,36,39,8,52,65,salaried,rented,1
55,93121,13.9,174515,71573,72,66,4,89,90,salaried,rented,0
27,90526,8.7,62013,57638,36,62,5,21,26,salaried,owned,0
45,117584,17.0,26692,360469,72,87,3,22,65,salaried,owned,0
57,43111,20.6,141914,204240,84,62,9,26,84,self_employed,family,1
28,87575,11.8,108644,68307,12,19,10,46,74,salaried,rented,0
38,56748,7.6,66077,118957,12,55,7,55,63,unemployed,rented,0
44,39605,7.5,10123,248091,36,21,1,61,64,salaried,rented,0
41,73767,19.2,48296,144791,24,82,0,62,50,salaried,rented,0
49,21853,6.5,80557,301868,84,43,8,56,61,salaried,owned,1
31,30633,21.2,214376,171509,120,33,5,20,82,self_employed,family,0
43,46594,2.5,183898,362440,12,5,3,70,36,self_employed,family,0
25,111995,19.5,62083,125070,96,68,2,74,54,salaried,rented,0
43,90834,8.0,176975,218416,120,46,2,43,94,self_employed,owned,0
29,111428,21.5,26582,262902,24,69,5,82,67,salaried,rented,0
24,87349,21.3,12363,240459,60,81,1,53,77,salaried,owned,0
44,101706,5.4,202474,124001,60,61,8,57,34,self_employed,family,1
58,57358,17.6,149704,290890,48,38,4,97,46,salaried,owned,0
22,47130,4.9,138897,164175,84,15,1,45,50,self_employed,rented,0
32,73983,23.4,134474,298740,120,73,2,91,28,salaried,owned,0
33,19263,7.1,145451,277957,36,45,10,28,60,salaried,rented,1
41,104624,5.3,85835,168712,96,70,0,32,85,salaried,owned,0
51,42640,7.3,100012,310342,24,66,7,68,40,salaried,owned,0
40,47423,5.2,103823,121592,60,53,10,75,53,unemployed,owned,0
57,94786,19.8,180746,69362,24,11,8,96,90,salaried,owned,1
35,107621,17.7,42919,99912,24,74,9,72,86,salaried,owned,0
45,54298,18.4,134899,320901,60,84,10,98,78,salaried,rented,0
44,119597,22.2,86138,349376,72,71,2,86,34,self_employed,owned,0
49,115673,14.6,191660,332493,24,22,4,87,89,salaried,rented,0
26,78571,0.4,86026,354401,120,43,4,62,32,self_employed,rented,0
52,117686,21.8,137120,255111,120,18,1,43,47,self_employed,owned,0
48,88303,2.9,21473,353102,48,83,7,88,30,salaried,family,1
22,114716,19.9,172147,350342,36,18,7,79,93,salaried,owned,0
48,73438,14.6,57936,245910,24,85,10,60,84,salaried,owned,0
21,118768,20.9,83471,152319,36,91,6,22,35,salaried,owned,1
21,50587,24.0,139627,115876,96,44,2,60,64,salaried,rented,0
24,108450,13.3,216623,330500,24,69,1,25,56,salaried,family,0
50,45077,10.0,89981,328360,96,31,6,71,37,self_employed,owned,0
53,112453,15.0,148989,178631,48,50,3,27,20,self_employed,rented,0
48,29842,9.2,76519,286119,48,16,10,62,69,self_employed,owned,0
32,64801,8.7,30327,103090,84,42,3,70,98,salaried,owned,0
36,79805,12.2,119782,64770,36,74,9,73,68,salaried,owned,0
32,86319,2.1,211612,183634,60,13,10,72,29,salaried,owned,0
50,60379,15.9,53670,225511,120,86,4,72,53,salaried,owned,0
33,105723,14.0,320,120972,96,32,0,53,38,salaried,owned,0
53,31428,6.6,67938,191866,96,19,8,94,49,salaried,rented,0
57,71970,14.4,11771,269356,96,56,4,97,20,salaried,owned,0
38,98434,12.7,200608,191359,72,49,1,50,62,salaried,family,0
52,34159,11.3,51523,61153,84,75,8,35,33,self_employed,family,1
23,44620,7.6,54595,359669,120,71,1,84,83,salaried,rented,0
43,85104,5.6,61351,162433,84,41,7,77,21,self_employed,owned,0
59,19632,15.6,29548,233032,48,70,10,73,22,salaried,owned,1
37,39870,24.2,68672,85557,36,34,1,98,24,self_employed,owned,0
21,53196,18.9,17376,60318,12,95,7,95,54,salaried,owned,0
36,90199,16.1,15596,375784,96,96,9,59,32,unemployed,family,1
38,89301,23.8,7382,357957,120,65,2,69,52,self_employed,rented,0
32,66915,2.0,130025,206524,36,28,4,21,53,self_employed,rented,0
32,72947,2.5,139872,376032,12,9,3,59,68,salaried,owned,0
24,80244,0.3,143171,259377,96,93,10,41,27,unemployed,owned,1
59,61938,19.5,61982,254956,84,97,2,28,93,salaried,owned,0
22,19307,8.5,124727,367149,72,8,0,32,83,salaried,owned,0
21,21407,20.0,56672,372613,96,16,3,24,77,salaried,owned,1
45,92235,1.0,133514,297785,24,88,6,83,38,salaried,owned,1
41,111053,19.3,194899,263654,24,68,1,92,41,salaried,family,0
21,77609,6.4,64193,263417,12,23,3,58,57,self_employed,family,0
44,36903,2.3,104152,58072,36,48,2,47,95,salaried,owned,0
22,94459,6.8,194486,283873,96,28,6,98,22,salaried,owned,0
43,59393,2.4,34222,296585,84,15,10,79,97,self_employed,rented,0
29,53435,23.7,216835,238266,120,49,1,68,24,salaried,owned,0
41,88388,14.5,23833,139511,84,74,6,56,97,self_employed,family,1
56,74093,19.8,134662,270883,36,32,7,68,27,self_employed,rented,0
50,51923,0.6,196398,170964,96,89,8,31,92,salaried,owned,1
57,35121,2.1,78846,72865,12,56,9,87,45,salaried,family,1
33,60734,24.5,73033,333289,60,70,6,54,77,unemployed,owned,0
35,93246,24.1,107536,217017,60,60,2,38,21,salaried,family,0
52,107957,23.5,38898,57625,72,47,0,46,47,salaried,owned,0
45,50593,19.8,194976,261448,96,35,9,34,98,salaried,rented,0
57,29794,3.0,31224,262962,12,7,9,31,69,salaried,rented,1
36,36201,17.1,52832,289466,120,78,7,25,69,salaried,rented,1
55,28774,23.6,143553,272957,96,38,6,51,25,salaried,family,1
58,85508,6.9,57440,180569,84,20,1,51,77,salaried,owned,0
41,30119,16.6,145567,243661,60,47,8,38,93,unemployed,owned,1
33,101351,6.5,174255,56311,24,51,3,61,50,salaried,owned,0
45,93334,15.2,65636,198574,60,56,6,76,38,self_employed,owned,0
38,102405,18.0,212366,123022,120,16,8,39,37,self_employed,rented,1
39,18147,3.7,102519,123787,12,72,5,84,28,salaried,rented,1
50,47805,19.7,93981,151005,84,44,2,48,64,unemployed,owned,0
31,99232,2.4,202267,343608,36,75,5,33,90,salaried,owned,0
32,100778,24.4,90689,345940,12,41,10,70,34,self_employed,owned,0
35,25258,6.6,107059,62337,12,15,2,91,51,salaried,rented,0
32,44280,24.6,33332,347689,84,13,5,31,36,salaried,family,1
44,19511,12.4,112560,278183,72,33,4,59,68,self_employed,family,1
32,36917,24.5,109828,164694,60,54,0,33,31,salaried,owned,0
34,113930,7.7,39033,186038,48,49,8,73,30,salaried,owned,0
41,117203,2.5,178097,116174,96,90,2,70,77,unemployed,rented,0
45,64017,23.3,205303,259814,36,21,4,29,76,self_employed,owned,0
53,53332,19.8,76926,298148,96,15,10,40,94,salaried,owned,1
47,32267,20.2,79510,312457,96,43,2,36,50,salaried,owned,0
24,58270,18.2,193703,248392,120,24,1,39,31,salaried,rented,0
59,114764,18.8,42893,237127,60,78,2,22,71,self_employed,owned,0
26,118455,3.1,175788,371104,96,30,8,90,30,salaried,rented,1
48,48605,7.7,88437,357630,60,69,8,42,28,salaried,owned,1
55,21040,24.8,106208,186142,12,49,1,32,25,salaried,owned,1
40,43699,16.4,73129,93128,36,36,0,35,71,salaried,rented,0
48,18549,20.6,62840,310398,36,17,10,84,69,salaried,owned,0
33,31767,14.9,144378,360497,12,15,1,55,24,unemployed,owned,1
51,33306,6.0,196663,310247,24,80,7,91,73,salaried,rented,0
45,38393,19.0,93003,373401,12,97,8,53,32,salaried,owned,1
50,86666,8.2,95593,54941,24,14,3,76,63,salaried,rented,0
22,79937,23.1,146305,327078,96,71,0,80,37,self_employed,rented,0
35,79334,2.8,108921,105461,84,8,8,85,34,self_employed,rented,0
29,44581,16.9,198749,358322,84,37,7,82,35,salaried,rented,0
23,76642,22.0,146711,105596,12,28,4,90,21,self_employed,rented,0
43,79016,21.7,131203,66503,12,26,10,52,57,salaried,rented,0
46,42408,4.1,216069,113722,84,79,0,69,97,self_employed,owned,0
50,52023,10.0,123773,60445,84,61,10,65,28,salaried,rented,0
44,109354,18.7,37234,96893,72,12,1,72,58,self_employed,owned,1
21,46519,4.9,12168,324035,60,25,4,47,34,self_employed,family,0
39,89018,21.4,131960,84581,48,8,0,58,33,self_employed,rented,0
21,59470,21.5,12281,127259,24,52,1,68,80,self_employed,rented,0
45,109525,7.3,186886,178486,48,90,9,62,49,salaried,owned,1
22,33530,22.0,72387,311446,84,38,2,82,84,self_employed,rented,0
28,59950,11.8,144653,226664,72,19,2,89,29,self_employed,family,0
27,35561,5.9,97547,345062,96,69,1,63,66,salaried,owned,0
23,117932,16.8,156908,292147,36,34,6,22,39,salaried,owned,0
44,119148,7.0,202680,292523,96,23,0,65,28,salaried,owned,0
53,78797,3.1,100735,188188,96,73,10,49,81,self_employed,owned,0
41,58225,24.5,138956,58360,36,61,4,29,58,salaried,owned,0
32,68242,1.2,147488,140575,72,38,6,87,71,unemployed,family,0
54,57355,24.9,117622,268428,84,37,2,21,77,self_employed,owned,0
51,26860,21.5,185180,158279,72,31,8,71,80,salaried,owned,0
34,87338,10.8,132107,299132,12,57,10,23,53,salaried,family,1
58,107053,5.8,15082,225431,72,35,4,20,64,self_employed,rented,0
59,119187,3.6,52432,352886,84,15,5,96,77,salaried,owned,1
33,107366,16.4,84323,265741,96,12,7,84,96,self_employed,rented,0
37,38812,10.9,20178,357597,12,35,8,53,38,self_employed,rented,1
29,77695,18.2,47254,81266,36,27,10,38,81,salaried,rented,0
44,103360,22.2,111654,368110,24,67,1,74,41,salaried,owned,0
55,66752,2.9,70308,339662,84,78,8,49,24,salaried,family,1
58,19030,5.2,211411,143937,36,8,2,72,92,self_employed,owned,0
38,42167,17.0,70421,309761,24,12,6,89,23,self_employed,rented,0
22,46316,20.2,21072,259747,48,62,0,63,21,unemployed,owned,0
32,72167,20.9,48113,183067,60,53,9,48,34,self_employed,rented,0
49,74784,24.5,145544,52794,120,33,9,24,70,self_employed,owned,0
43,98711,18.2,214335,338380,72,18,9,48,97,salaried,rented,0
52,41616,13.5,22808,133920,24,54,3,64,26,salaried,rented,0
24,34441,20.8,188357,270086,96,55,10,62,41,salaried,owned,0
43,44923,14.7,69409,376856,72,7,7,20,84,self_employed,rented,0
47,116065,12.4,95259,266417,12,26,0,89,21,self_employed,family,0
31,95990,1.2,48803,90765,72,43,3,24,55,salaried,rented,0
35,40721,22.5,91356,150887,48,31,2,20,41,salaried,owned,0
44,103455,20.1,90191,81131,24,84,3,63,56,salaried,rented,0
35,71060,14.5,213164,340656,120,41,3,44,51,salaried,owned,0
46,39392,14.8,34671,53797,120,8,5,92,88,unemployed,owned,0
38,116652,6.8,42386,353975,12,61,5,96,70,salaried,family,0
29,25397,2.9,63629,310263,84,30,1,81,78,salaried,owned,0
21,68322,4.6,203128,190614,24,77,3,77,63,self_employed,rented,0
32,69842,11.2,184284,170103,24,66,5,49,71,salaried,rented,0
51,59746,3.8,133351,259003,60,54,1,38,23,self_employed,rented,0
35,21466,0.1,155475,133015,120,39,5,37,54,salaried,owned,1
43,108581,5.8,86996,235926,12,45,1,54,46,self_employed,owned,0
27,57257,5.9,12941,321279,96,67,9,79,37,salaried,rented,0
37,35208,3.8,24490,313044,120,35,4,61,89,self_employed,rented,0
21,57650,19.3,126642,308284,12,60,7,68,93,salaried,owned,0
31,95189,14.7,146326,275442,72,17,5,27,41,salaried,rented,0
48,54036,1.4,136253,224872,120,50,8,87,44,self_employed,rented,0
41,109681,10.9,208072,300518,36,56,2,22,85,salaried,rented,0
31,65502,7.6,56808,217186,72,15,9,70,41,salaried,owned,0
21,116956,2.7,48064,234899,84,26,4,77,42,salaried,owned,0
32,102688,0.3,44440,135210,48,40,1,56,92,salaried,rented,0
59,110034,16.4,103394,139255,96,10,2,72,71,salaried,family,0
24,94115,9.0,50909,147051,24,66,4,25,22,self_employed,rented,1
26,93356,5.5,97186,155272,120,84,2,37,40,salaried,rented,0
58,47123,9.6,1517,74524,84,7,8,38,79,salaried,owned,0
46,32535,23.1,196178,269144,12,65,6,36,70,salaried,rented,0
43,19353,0.4,85344,169678,96,27,3,54,74,salaried,family,1
35,106250,2.8,51964,265150,24,6,10,53,56,self_employed,family,1
33,111771,2.5,91479,194714,60,19,3,78,42,salaried,rented,0
44,80470,23.8,197145,66591,84,93,3,52,97,salaried,rented,0
38,74173,20.2,124094,221858,72,17,8,90,76,salaried,owned,0
60,98674,14.1,45202,207170,36,10,2,56,91,salaried,owned,0
25,118739,12.4,57415,190859,72,59,5,45,84,self_employed,rented,0
21,39693,9.0,76918,331053,72,33,6,37,73,salaried,owned,0
32,43933,12.9,192398,189576,24,88,0,20,96,salaried,rented,0
41,81138,18.5,70232,141425,24,55,4,50,61,self_employed,rented,0
23,94225,19.5,125031,329776,24,38,10,74,26,salaried,family,0
27,56482,5.6,132432,323966,60,40,3,78,26,salaried,owned,0
49,103436,24.1,92118,267913,60,58,7,36,69,self_employed,owned,0
25,66200,16.5,181929,95680,120,52,8,97,93,salaried,owned,0
31,93610,21.1,2907,321069,60,47,0,78,91,salaried,owned,0
47,116683,22.1,8720,226926,12,34,3,76,54,self_employed,rented,0
22,69951,12.1,115351,160619,12,56,7,35,90,unemployed,owned,1
47,80308,22.8,168394,197434,24,83,0,85,77,salaried,rented,0
53,117605,8.2,156708,74479,84,65,3,93,73,salaried,rented,0
53,108911,15.4,132045,302485,84,8,5,61,22,self_employed,rented,0
29,33459,17.4,15383,187553,120,59,1,89,71,self_employed,rented,0
34,42486,21.0,199894,86557,84,25,9,21,80,salaried,family,0
53,98702,2.0,148543,331284,36,67,1,91,39,salaried,owned,0
34,119268,20.1,121543,97415,96,5,8,74,59,salaried,owned,0
31,21959,5.2,182309,360042,120,92,10,50,31,self_employed,owned,1
59,108744,0.5,73997,238110,84,62,0,68,96,salaried,rented,0
49,42884,0.0,67754,368378,120,25,4,49,91,self_employed,rented,0
36,25117,17.4,205208,89502,96,97,8,34,73,salaried,family,0
45,102003,6.8,58141,109715,72,87,8,94,26,salaried,rented,1
58,112727,16.5,171455,317912,24,47,0,45,77,self_employed,owned,0
59,38457,10.3,78209,72298,96,11,3,23,85,self_employed,owned,0
25,77540,4.0,39379,327186,36,81,6,90,42,self_employed,rented,1
54,60762,18.8,7914,60087,96,23,8,84,94,unemployed,family,0
50,100751,6.9,19729,269649,120,5,6,95,34,self_employed,family,0
28,40477,20.0,106468,255475,36,6,8,24,87,salaried,owned,0
50,25447,15.9,210885,141871,84,29,10,53,55,salaried,owned,1
32,102138,6.3,136818,304045,12,15,2,21,57,self_employed,family,0
31,104196,21.9,56347,263816,12,79,1,39,48,salaried,owned,0
38,92694,11.3,215723,80827,48,83,6,77,20,salaried,rented,0
41,35427,21.1,180802,211658,12,50,5,48,74,salaried,rented,0
49,66131,19.5,72976,58529,48,56,4,85,89,salaried,owned,0
49,83327,6.2,96846,194936,84,57,2,45,36,salaried,owned,0
50,97209,19.4,138658,263779,60,79,1,36,67,salaried,rented,0
32,35680,18.7,67258,147515,120,54,2,41,72,salaried,owned,0
46,27525,24.2,149211,355873,84,27,3,64,68,salaried,rented,0
59,104154,20.5,154137,366251,120,36,3,61,90,self_employed,family,0
53,78816,17.8,118211,370295,36,52,6,21,58,salaried,owned,0
54,50960,22.4,213148,179509,24,46,3,97,87,self_employed,family,0
30,34522,10.1,7688,52316,24,42,4,26,79,unemployed,owned,0
25,57971,18.5,173364,168923,12,41,9,29,47,salaried,owned,0
57,82973,8.0,166610,334984,96,21,0,95,98,salaried,rented,0
45,56944,4.0,206020,121005,60,6,5,39,27,salaried,owned,0
22,92740,23.3,111837,274451,24,84,4,91,71,salaried,family,0
55,22450,16.2,96998,260920,120,21,0,30,80,self_employed,owned,0
49,98699,10.2,26346,325876,84,78,5,81,39,self_employed,rented,0
39,18881,7.7,208510,211141,96,37,1,40,60,salaried,owned,1
60,59385,21.3,25410,56675,12,68,7,83,45,self_employed,owned,0
43,26140,5.6,22586,351779,36,10,2,62,94,salaried,owned,0
51,43346,5.2,10568,149550,60,98,2,57,59,salaried,rented,0
21,53511,12.3,6729,282747,120,58,2,48,60,unemployed,family,0
51,72203,8.0,203788,368924,24,65,10,24,91,self_employed,family,1
36,104168,4.2,141089,360949,72,15,4,65,69,salaried,owned,0
25,91183,19.9,133400,50763,72,49,8,30,32,salaried,family,1
60,69432,16.7,65241,365766,24,55,0,82,80,salaried,owned,0
21,111955,7.8,81725,111462,120,40,0,51,97,unemployed,rented,0
26,88730,0.6,54789,358578,84,55,2,25,50,salaried,family,0
46,107717,23.7,164716,61031,96,73,8,21,39,salaried,owned,1
26,68087,7.1,114643,364736,48,31,3,63,73,salaried,owned,0
50,57319,6.6,5417,313788,120,11,6,82,25,salaried,family,0
23,96195,4.2,178126,111595,24,74,10,56,48,salaried,owned,0
30,69091,9.5,25230,225786,120,40,8,63,91,salaried,owned,0
32,104263,3.0,155713,261433,12,42,7,40,38,salaried,owned,0
21,80396,11.9,71470,240504,60,42,7,27,88,self_employed,rented,0
33,28476,11.1,16652,201663,84,14,9,93,63,self_employed,rented,0
52,68788,24.9,34673,263618,36,36,5,93,68,unemployed,owned,0
29,116178,9.6,193950,330295,60,7,2,67,82,self_employed,family,1
45,85755,10.0,86676,77175,84,35,0,70,70,salaried,family,0
29,113804,13.3,168052,95995,84,39,0,89,95,salaried,family,0
58,33501,24.7,15388,174391,12,23,5,37,22,salaried,owned,0
50,117218,9.3,122549,363238,72,34,1,93,43,unemployed,owned,0
55,74411,1.1,121495,232880,96,42,10,61,52,self_employed,family,0
29,23746,8.0,195865,341942,60,93,4,62,48,salaried,owned,0
56,33830,18.0,156039,254099,72,85,5,87,47,salaried,family,0
42,70184,24.5,41130,138014,72,24,1,83,98,salaried,owned,0
21,48767,24.2,107056,103765,84,22,4,89,74,salaried,owned,0
30,117322,10.5,106457,58407,36,30,5,28,66,salaried,owned,0
33,107246,0.1,115662,170795,24,59,7,32,60,salaried,owned,1
24,66944,3.2,67019,208451,24,31,3,95,61,salaried,rented,0
45,52631,18.3,95778,162089,24,92,5,79,94,salaried,rented,0
26,117414,16.1,137550,351769,120,55,6,58,71,salaried,rented,0
28,90578,5.9,84480,368386,96,38,10,91,78,salaried,family,0
50,24445,19.3,63671,300750,96,98,1,89,53,salaried,owned,1
57,42328,4.1,158196,238681,84,67,3,47,44,self_employed,owned,1
51,45879,19.7,34933,160275,84,42,4,25,43,self_employed,family,1
31,69745,23.4,120635,247164,36,38,2,76,80,self_employed,rented,0
35,112493,13.4,88643,123762,12,22,3,43,22,salaried,owned,0
25,73480,15.4,59756,141848,120,40,4,37,47,unemployed,rented,0
58,86848,3.7,159411,54767,96,47,5,30,62,self_employed,rented,0
45,25546,22.9,116015,219663,84,77,9,28,45,salaried,owned,1
46,55269,24.6,55953,131120,36,60,10,39,36,salaried,rented,1
25,72285,22.2,132705,67705,84,56,4,81,23,unemployed,rented,0
44,24862,6.0,209078,68115,72,83,5,41,84,self_employed,owned,1
23,101927,11.8,185613,205981,12,21,7,54,22,self_employed,family,1
44,84366,4.2,118867,270330,36,52,9,20,75,self_employed,owned,0
46,43022,20.1,173633,237081,84,38,6,29,56,salaried,owned,0
58,45376,2.6,57039,357796,96,78,8,55,96,self_employed,owned,1
53,74000,0.9,194010,375174,72,45,0,56,96,self_employed,rented,0
47,119590,21.8,77751,163496,36,21,3,95,52,self_employed,owned,0
56,94771,17.6,139897,89127,24,47,9,56,91,unemployed,owned,1
25,41914,17.1,114540,135641,36,29,9,87,58,unemployed,owned,0
31,62696,9.9,120873,314249,96,13,8,84,87,salaried,family,0
54,102274,13.7,126636,80308,72,89,8,57,28,salaried,owned,1
33,109476,18.1,150872,244027,84,44,7,93,96,salaried,family,0
22,116702,17.0,135086,274595,96,84,4,92,69,salaried,rented,0
21,99382,21.5,116594,130827,48,55,1,26,89,salaried,family,0
45,70530,3.3,25940,269516,72,50,5,77,84,salaried,owned,0
54,70244,8.1,197029,237943,96,50,1,42,52,salaried,owned,1
45,86652,11.2,136582,267540,120,21,4,27,65,salaried,owned,0
27,38172,4.4,67289,208616,60,13,8,95,98,salaried,owned,0
33,44422,13.2,140092,273242,12,70,3,60,80,self_employed,rented,0
36,71504,4.8,163108,206394,60,24,3,85,72,salaried,owned,0
24,88851,15.3,140161,167093,12,82,4,28,47,salaried,rented,0
48,101620,1.7,159226,299367,96,78,7,37,54,salaried,owned,1
34,65523,9.7,70857,326104,12,43,5,25,79,salaried,rented,0
52,57210,24.7,3712,350436,72,68,10,48,93,salaried,owned,0
56,23918,3.5,113297,50571,36,96,9,52,54,salaried,family,1
35,29799,8.8,139053,364816,36,47,8,55,98,self_employed,owned,1
40,38128,1.0,25262,345447,96,90,7,80,56,salaried,rented,1
28,104023,7.7,134607,273011,60,92,8,40,45,salaried,rented,1
59,59943,19.7,136314,257844,120,40,1,93,73,salaried,rented,0
48,22080,18.4,94527,337643,84,96,9,55,41,salaried,family,1
54,45497,2.5,116248,150909,12,54,6,43,95,salaried,family,0
26,66697,2.3,212851,327679,24,64,8,84,39,salaried,owned,0
44,62549,14.1,108611,376556,120,80,0,73,39,salaried,rented,0
51,33603,11.3,131750,353705,12,24,2,49,80,self_employed,rented,0
48,59465,20.6,209571,334244,96,12,10,90,55,self_employed,family,0
37,27253,15.7,116698,270578,96,45,5,45,95,salaried,family,0
55,88882,15.6,10431,287205,48,64,8,28,65,salaried,owned,0
56,94156,7.6,133674,369042,84,26,6,90,46,salaried,rented,0
34,86829,0.6,40777,58857,96,56,1,39,50,salaried,rented,0
59,21651,15.8,87487,96250,120,74,1,39,92,self_employed,rented,1
27,84944,19.2,213773,63921,96,5,6,69,96,salaried,owned,0
29,46763,12.0,38465,359057,120,23,6,90,97,self_employed,owned,0
53,104868,23.2,114467,209272,96,10,3,60,25,salaried,owned,0
47,85969,19.6,59057,150143,72,50,7,21,82,salaried,rented,0
34,31126,8.1,89198,72391,72,61,10,24,65,salaried,owned,0
59,106539,21.9,58364,320835,60,95,4,53,25,salaried,family,1
27,28007,7.8,80889,303439,12,88,1,39,49,unemployed,rented,1
33,70506,13.4,116383,109680,72,85,6,88,97,salaried,owned,0
49,98990,11.2,14008,124513,48,86,4,54,65,salaried,owned,0
51,93301,20.3,6485,171583,84,97,6,58,22,salaried,owned,1
41,80883,5.5,130707,315306,48,20,5,94,83,salaried,rented,0
30,104841,11.0,27383,316885,84,76,3,24,37,salaried,owned,1
40,102218,4.1,215389,168892,48,27,4,31,68,self_employed,rented,0
43,100159,18.5,140913,179729,84,54,0,79,46,salaried,rented,0
37,68957,4.4,32068,231076,72,74,4,30,82,salaried,family,0
28,73665,1.6,770,226512,12,25,2,29,85,self_employed,owned,0
39,30960,5.7,200070,207208,60,90,7,69,27,self_employed,owned,1
